location,year,gni_pc_usa,iso3,gni_pc_ppp,who_region,scenario,scenario_label,intervention_family,htn_target_scenario,deaths_baseline,deaths_intervention,deaths_averted,life_years_gained_undisc,life_years_gained_disc,avg_age_of_death_averted,population,age_ref_5y,adult_population,avg_adult_age,le_avg_adult,le_avg_adult_disc,total_national_gni,vsl_preferred,vsl_transfer_prefloor,vsl_floor,vsl_gni100,vsl_gni160,vsl_e1_0,vsl_e1_5,vsl_e1_2,vsl_preferred_gni_ratio,vsly_preferred,vsly_gni100,vsly_gni160,vsly_e1_0,vsly_e1_2,vsly_e1_5,economic_value_preferred,economic_value_gni100,economic_value_gni160,economic_value_e1_0,economic_value_e1_2,economic_value_e1_5,vsly_value_preferred,vsly_value_gni100,vsly_value_gni160,vsly_value_e1_0,vsly_value_e1_2,vsly_value_e1_5,disc_bca_primary,disc_bca_3pct,disc_bca_2xg,disc_r1,disc_r3,disc_r5,gni_pc_disc_r3,economic_value_preferred_disc,vsly_value_preferred_disc,economic_value_e1_2_disc_r3,vsly_value_e1_2_disc_r3,economic_value_e1_5_disc_r3,vsly_value_e1_5_disc_r3,bca_base_year,bca_currency_basis,bca_price_year,bca_standing,bca_scope,cost_to_bca_currency_factor
Indonesia,2025,74136.3707949527,IDN,13851.4910785419,South-East Asia,I_CVD_PRIMARY,Primary prevention of CVD,clinical,htncov2_aspirational,959793.497483951,959793.497483951,0,0,0,,285721235.5,37,197565112.5,37.3332701313852,37.51,22.3343018138425,3957665144478.22,957963.829726182,957963.829726182,277029.821570838,1385149.10785419,2216238.5725667,2216238.5725667,957963.829726182,1584563.14368642,69.1596178558867,25538.8917548969,36927.4622195199,59083.9395512318,59083.9395512318,42243.752164394,25538.8917548969,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,13851.4910785419,0,0,0,0,0,0,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Indonesia,2025,74136.3707949527,IDN,13851.4910785419,South-East Asia,I_HF_ACUTE,Acute heart-failure management,clinical,htncov2_aspirational,959793.497483951,959448.022993719,345.474490231986,4367.28842475874,3372.42944279694,70.3128348071759,285721235.5,37,197565112.5,37.3332701313852,37.51,22.3343018138425,3957665144478.22,957963.829726182,957963.829726182,277029.821570838,1385149.10785419,2216238.5725667,2216238.5725667,957963.829726182,1584563.14368642,69.1596178558867,25538.8917548969,36927.4622195199,59083.9395512318,59083.9395512318,42243.752164394,25538.8917548969,330952065.735334,478533681.931216,765653891.089946,765653891.089946,547426144.305459,330952065.735334,111535706.342328,161272878.307025,258036605.29124,258036605.29124,184490649.845935,111535706.342328,1,1,1,1,1,1,13851.4910785419,330952065.735334,111535706.342328,547426144.305459,184490649.845935,330952065.735334,111535706.342328,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Indonesia,2025,74136.3707949527,IDN,13851.4910785419,South-East Asia,I_HF_CHRONIC,Chronic heart-failure management,clinical,htncov2_aspirational,959793.497483951,959392.17823372,401.319250230452,6192.74174411882,4675.35721608294,64.9815711260995,285721235.5,37,197565112.5,37.3332701313852,37.51,22.3343018138425,3957665144478.22,957963.829726182,957963.829726182,277029.821570838,1385149.10785419,2216238.5725667,2216238.5725667,957963.829726182,1584563.14368642,69.1596178558867,25538.8917548969,36927.4622195199,59083.9395512318,59083.9395512318,42243.752164394,25538.8917548969,384449325.893604,555887001.421424,889419202.274278,889419202.274278,635915692.767043,384449325.893604,158155761.069082,228682236.791191,365891578.865906,365891578.865906,261604647.456653,158155761.069082,1,1,1,1,1,1,13851.4910785419,384449325.893604,158155761.069082,635915692.767043,261604647.456653,384449325.893604,158155761.069082,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Indonesia,2025,74136.3707949527,IDN,13851.4910785419,South-East Asia,I_IHD_ACUTE,Treatment of acute coronary syndromes,clinical,htncov2_aspirational,959793.497483951,958846.55618854,946.941295410909,15469.9691866452,11544.3584562338,63.6435585497474,285721235.5,37,197565112.5,37.3332701313852,37.51,22.3343018138425,3957665144478.22,957963.829726182,957963.829726182,277029.821570838,1385149.10785419,2216238.5725667,2216238.5725667,957963.829726182,1584563.14368642,69.1596178558867,25538.8917548969,36927.4622195199,59083.9395512318,59083.9395512318,42243.752164394,25538.8917548969,907135509.877707,1311654890.52871,2098647824.84594,2098647824.84594,1500488275.9428,907135509.877707,395085868.509322,571266702.676976,914026724.283162,914026724.283162,653509544.311451,395085868.509322,1,1,1,1,1,1,13851.4910785419,907135509.877707,395085868.509322,1500488275.9428,653509544.311451,907135509.877707,395085868.509322,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Indonesia,2025,74136.3707949527,IDN,13851.4910785419,South-East Asia,I_IHD_SECONDARY,Secondary prevention of ischemic heart disease,clinical,htncov2_aspirational,959793.497483951,959055.953658661,737.543825289608,12049.0893219305,8991.55030791044,63.6435585497474,285721235.5,37,197565112.5,37.3332701313852,37.51,22.3343018138425,3957665144478.22,957963.829726182,957963.829726182,277029.821570838,1385149.10785419,2216238.5725667,2216238.5725667,957963.829726182,1584563.14368642,69.1596178558867,25538.8917548969,36927.4622195199,59083.9395512318,59083.9395512318,42243.752164394,25538.8917548969,706540307.465331,1021608171.60327,1634573074.56523,1634573074.56523,1168684762.40741,706540307.465331,307720387.937868,444942290.71521,711907665.144335,711907665.144336,508998743.12228,307720387.937868,1,1,1,1,1,1,13851.4910785419,706540307.465331,307720387.937868,1168684762.40741,508998743.12228,706540307.465331,307720387.937868,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Indonesia,2025,74136.3707949527,IDN,13851.4910785419,South-East Asia,I_PH_TOBACCO_POLICY,Tobacco policy package,public_health,htncov2_aspirational,959793.497483951,959793.497483951,2.43056658133511e-10,7.19933224146985e-09,4.4049321724811e-09,47.6251506930596,285721235.5,37,197565112.5,37.3332701313852,37.51,22.3343018138425,3957665144478.22,957963.829726182,957963.829726182,277029.821570838,1385149.10785419,2216238.5725667,2216238.5725667,957963.829726182,1584563.14368642,69.1596178558867,25538.8917548969,36927.4622195199,59083.9395512318,59083.9395512318,42243.752164394,25538.8917548969,0.000232839487066026,0.000336669713171654,0.000538671541074647,0.000538671541074647,0.000385138622305952,0.000232839487066026,0.000183862966822438,0.000265853069352649,0.000425364910964238,0.000425364910964239,0.000304126806957784,0.000183862966822438,1,1,1,1,1,1,13851.4910785419,0.000232839487066026,0.000183862966822438,0.000385138622305952,0.000304126806957784,0.000232839487066026,0.000183862966822438,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Indonesia,2025,74136.3707949527,IDN,13851.4910785419,South-East Asia,I_PH_TOBACCO_TAX,Tobacco tax,public_health,htncov2_aspirational,959793.497483951,959793.497483951,2.43056658133511e-10,7.19933224146985e-09,4.4049321724811e-09,47.6251506930596,285721235.5,37,197565112.5,37.3332701313852,37.51,22.3343018138425,3957665144478.22,957963.829726182,957963.829726182,277029.821570838,1385149.10785419,2216238.5725667,2216238.5725667,957963.829726182,1584563.14368642,69.1596178558867,25538.8917548969,36927.4622195199,59083.9395512318,59083.9395512318,42243.752164394,25538.8917548969,0.000232839487066026,0.000336669713171654,0.000538671541074647,0.000538671541074647,0.000385138622305952,0.000232839487066026,0.000183862966822438,0.000265853069352649,0.000425364910964238,0.000425364910964239,0.000304126806957784,0.000183862966822438,1,1,1,1,1,1,13851.4910785419,0.000232839487066026,0.000183862966822438,0.000385138622305952,0.000304126806957784,0.000232839487066026,0.000183862966822438,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Indonesia,2025,74136.3707949527,IDN,13851.4910785419,South-East Asia,I_PH_TOB_AD_BAN,Tobacco advertising ban,public_health,htncov2_aspirational,959793.497483951,959793.497483951,2.43056658133511e-10,7.19933224146985e-09,4.4049321724811e-09,47.6251506930596,285721235.5,37,197565112.5,37.3332701313852,37.51,22.3343018138425,3957665144478.22,957963.829726182,957963.829726182,277029.821570838,1385149.10785419,2216238.5725667,2216238.5725667,957963.829726182,1584563.14368642,69.1596178558867,25538.8917548969,36927.4622195199,59083.9395512318,59083.9395512318,42243.752164394,25538.8917548969,0.000232839487066026,0.000336669713171654,0.000538671541074647,0.000538671541074647,0.000385138622305952,0.000232839487066026,0.000183862966822438,0.000265853069352649,0.000425364910964238,0.000425364910964239,0.000304126806957784,0.000183862966822438,1,1,1,1,1,1,13851.4910785419,0.000232839487066026,0.000183862966822438,0.000385138622305952,0.000304126806957784,0.000232839487066026,0.000183862966822438,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Indonesia,2025,74136.3707949527,IDN,13851.4910785419,South-East Asia,I_PH_TOB_CLEAN_AIR,Smoke-free / clean-air law,public_health,htncov2_aspirational,959793.497483951,959793.497483951,2.43056658133511e-10,7.19933224146985e-09,4.4049321724811e-09,47.6251506930596,285721235.5,37,197565112.5,37.3332701313852,37.51,22.3343018138425,3957665144478.22,957963.829726182,957963.829726182,277029.821570838,1385149.10785419,2216238.5725667,2216238.5725667,957963.829726182,1584563.14368642,69.1596178558867,25538.8917548969,36927.4622195199,59083.9395512318,59083.9395512318,42243.752164394,25538.8917548969,0.000232839487066026,0.000336669713171654,0.000538671541074647,0.000538671541074647,0.000385138622305952,0.000232839487066026,0.000183862966822438,0.000265853069352649,0.000425364910964238,0.000425364910964239,0.000304126806957784,0.000183862966822438,1,1,1,1,1,1,13851.4910785419,0.000232839487066026,0.000183862966822438,0.000385138622305952,0.000304126806957784,0.000232839487066026,0.000183862966822438,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
Indonesia,2025,74136.3707949527,IDN,13851.4910785419,South-East Asia,I_PH_TOB_MEDIA,Tobacco mass-media campaign,public_health,htncov2_aspirational,959793.497483951,959793.497483951,2.43056658133511e-10,7.19933224146985e-09,4.4049321724811e-09,47.6251506930596,285721235.5,37,197565112.5,37.3332701313852,37.51,22.3343018138425,3957665144478.22,957963.829726182,957963.829726182,277029.821570838,1385149.10785419,2216238.5725667,2216238.5725667,957963.829726182,1584563.14368642,69.1596178558867,25538.8917548969,36927.4622195199,59083.9395512318,59083.9395512318,42243.752164394,25538.8917548969,0.000232839487066026,0.000336669713171654,0.000538671541074647,0.000538671541074647,0.000385138622305952,0.000232839487066026,0.000183862966822438,0.000265853069352649,0.000425364910964238,0.000425364910964239,0.000304126806957784,0.000183862966822438,1,1,1,1,1,1,13851.4910785419,0.000232839487066026,0.000183862966822438,0.000385138622305952,0.000304126806957784,0.000232839487066026,0.000183862966822438,2025,PPP_international_dollars,2023,societal,partial_mortality_benefit,3
