valuation_type,elasticity_case,who_region,scenario,metric_2026,share_2026,metric_2030,share_2030,metric_2040,share_2040,metric_2050,share_2050,metric_total,share_total
VSL,e1_2_primary,South-East Asia,I_CVD_PRIMARY,2738110410.00183,0.000681720968098835,30409767286.6146,0.00715773509624901,177538615698.881,0.039826919723561,365844111486.574,0.0846624397864407,3928528713313.75,0.0349104950445164
VSL,e1_2_primary,World,I_CVD_PRIMARY,2738110410.00183,0.000681720968098835,30409767286.6146,0.00715773509624901,177538615698.881,0.039826919723561,365844111486.574,0.0846624397864407,3928528713313.75,0.0349104950445164
VSL,e1_2_primary,South-East Asia,I_HF_ACUTE,954022173.020518,0.000237527645709096,2635355901.33579,0.000620300025590825,6583802616.53918,0.00147693265069392,10352437816.8093,0.0023957270755215,144482596200.225,0.00128393078598939
VSL,e1_2_primary,World,I_HF_ACUTE,954022173.020518,0.000237527645709096,2635355901.33579,0.000620300025590825,6583802616.53918,0.00147693265069392,10352437816.8093,0.0023957270755215,144482596200.225,0.00128393078598939
VSL,e1_2_primary,South-East Asia,I_HF_CHRONIC,1205132663.83308,0.000300047873626568,3274631533.42687,0.00077077028683512,7741266288.1732,0.00173658440336553,10825882561.803,0.00250529009965316,165712780121.012,0.0014725907868821
VSL,e1_2_primary,World,I_HF_CHRONIC,1205132663.83308,0.000300047873626568,3274631533.42687,0.00077077028683512,7741266288.1732,0.00173658440336553,10825882561.803,0.00250529009965316,165712780121.012,0.0014725907868821
VSL,e1_2_primary,South-East Asia,I_IHD_SECONDARY,2310178288.18828,0.000575176579202873,7222612524.56336,0.00170003100209288,18805449298.2711,0.00421859276428087,26324263705.8627,0.00609187443762307,395907290634.96,0.00351819230974674
VSL,e1_2_primary,World,I_IHD_SECONDARY,2310178288.18828,0.000575176579202873,7222612524.56336,0.00170003100209288,18805449298.2711,0.00421859276428087,26324263705.8627,0.00609187443762307,395907290634.96,0.00351819230974674
VSL,e1_2_primary,South-East Asia,I_PH_SALT_ENV,-0.000958902250576668,-2.38742662891684e-16,5093751258.35433,0.00119894775286668,15571361648.0092,0.00349309567330206,18197573799.512,0.00421122261555667,305359525199.93,0.00271354824394194
VSL,e1_2_primary,World,I_PH_SALT_ENV,-0.000958902250576668,-2.38742662891684e-16,5093751258.35433,0.00119894775286668,15571361648.0092,0.00349309567330206,18197573799.512,0.00421122261555667,305359525199.93,0.00271354824394194
VSL,e1_2_primary,South-East Asia,I_PH_SALT_FOPL,-0.000958902250576668,-2.38742662891684e-16,7267521938.33726,0.00171060160870396,22210583988.6776,0.00498246053146425,25966122295.6757,0.00600899453161125,435600532403.718,0.00387092251008175
VSL,e1_2_primary,World,I_PH_SALT_FOPL,-0.000958902250576668,-2.38742662891684e-16,7267521938.33726,0.00171060160870396,22210583988.6776,0.00498246053146425,25966122295.6757,0.00600899453161125,435600532403.718,0.00387092251008175
VSL,e1_2_primary,South-East Asia,I_PH_SALT_MEDIA,-0.000958902250576668,-2.38742662891684e-16,-0.00115353785340433,-2.71515342434016e-16,-0.00179437192359947,-4.02528240259668e-16,-0.00150091852694499,-3.473376239281e-16,-0.0378276988789519,-3.36152231695204e-16
VSL,e1_2_primary,World,I_PH_SALT_MEDIA,-0.000958902250576668,-2.38742662891684e-16,-0.00115353785340433,-2.71515342434016e-16,-0.00179437192359947,-4.02528240259668e-16,-0.00150091852694499,-3.473376239281e-16,-0.0378276988789519,-3.36152231695204e-16
VSL,e1_2_primary,South-East Asia,I_PH_SALT_POLICY,-0.000958902250576668,-2.38742662891684e-16,26584005696.436,0.00625724191766567,81048657281.2403,0.0181815001459579,95062658568.025,0.0219990874644698,1590972083405.91,0.0141380214036557
VSL,e1_2_primary,World,I_PH_SALT_POLICY,-0.000958902250576668,-2.38742662891684e-16,26584005696.436,0.00625724191766567,81048657281.2403,0.0181815001459579,95062658568.025,0.0219990874644698,1590972083405.91,0.0141380214036557
VSL,e1_2_primary,South-East Asia,I_PH_SALT_REFORM,-0.000958902250576668,-2.38742662891684e-16,14473510080.2805,0.00340671962699095,44193823773.7134,0.00991392134485357,51729555065.4555,0.0119710833204683,867030896495.759,0.00770478721791651
VSL,e1_2_primary,World,I_PH_SALT_REFORM,-0.000958902250576668,-2.38742662891684e-16,14473510080.2805,0.00340671962699095,44193823773.7134,0.00991392134485357,51729555065.4555,0.0119710833204683,867030896495.759,0.00770478721791651
VSL,e1_2_primary,South-East Asia,I_PH_TFA_POLICY,-0.000958902250576668,-2.38742662891684e-16,2772929405.28608,0.000652681552494926,12911010919.6426,0.00289630395856392,16430719314.6716,0.0038023429678117,247792709004.323,0.00220198623226197
VSL,e1_2_primary,World,I_PH_TFA_POLICY,-0.000958902250576668,-2.38742662891684e-16,2772929405.28608,0.000652681552494926,12911010919.6426,0.00289630395856392,16430719314.6716,0.0038023429678117,247792709004.323,0.00220198623226197
VSL,e1_2_primary,South-East Asia,I_PH_TOBACCO_POLICY,6500774957.55567,0.00161853027594112,35745933567.9191,0.00841374157308665,69869282579.3982,0.0156736510391189,65202050587.2812,0.0150888438777037,1246107933541.99,0.0110734190872581
VSL,e1_2_primary,World,I_PH_TOBACCO_POLICY,6500774957.55567,0.00161853027594112,35745933567.9191,0.00841374157308665,69869282579.3982,0.0156736510391189,65202050587.2812,0.0150888438777037,1246107933541.99,0.0110734190872581
VSL,e1_2_primary,South-East Asia,I_PH_TOBACCO_TAX,14080351198.3288,0.00350565507330652,78571219624.8104,0.0184937941472226,155687100613.008,0.0349250084760423,144779691669.726,0.0335044395780508,2758897579451.18,0.0245166797303402
VSL,e1_2_primary,World,I_PH_TOBACCO_TAX,14080351198.3288,0.00350565507330652,78571219624.8104,0.0184937941472226,155687100613.008,0.0349250084760423,144779691669.726,0.0335044395780508,2758897579451.18,0.0245166797303402
VSL,e1_2_primary,South-East Asia,I_PH_TOB_AD_BAN,1627823735.39753,0.000405287372173106,8997813598.52144,0.00211787106348531,17593462058.906,0.00394670983730096,16347917064.9453,0.00378318114379558,313218965090.987,0.00278339040557348
VSL,e1_2_primary,World,I_PH_TOB_AD_BAN,1627823735.39753,0.000405287372173106,8997813598.52144,0.00211787106348531,17593462058.906,0.00394670983730096,16347917064.9453,0.00378318114379558,313218965090.987,0.00278339040557348
VSL,e1_2_primary,South-East Asia,I_PH_TOB_CLEAN_AIR,2238382031.81996,0.000557301108141334,12378335076.2963,0.00291356532174895,24218069535.8592,0.00543279616925821,22504636300.9245,0.00520794883919484,431066887998.532,0.00383063471225951
VSL,e1_2_primary,World,I_PH_TOB_CLEAN_AIR,2238382031.81996,0.000557301108141334,12378335076.2963,0.00291356532174895,24218069535.8592,0.00543279616925821,22504636300.9245,0.00520794883919484,431066887998.532,0.00383063471225951
VSL,e1_2_primary,South-East Asia,I_PH_TOB_MEDIA,2645458607.16143,0.000658652987896964,14633947174.1986,0.00344448269854142,28642780771.3511,0.00642538371694282,26617155924.6695,0.0061596545905901,509751909975.485,0.00452986164179543
VSL,e1_2_primary,World,I_PH_TOB_MEDIA,2645458607.16143,0.000658652987896964,14633947174.1986,0.00344448269854142,28642780771.3511,0.00642538371694282,26617155924.6695,0.0061596545905901,509751909975.485,0.00452986164179543
VSL,e1_2_primary,South-East Asia,I_RHD_SECONDARY,115870588.499691,2.88488767573615e-05,347054476.364393,8.16883596106033e-05,880592910.378684,0.000197541830619387,1255258089.18351,0.000290487694226129,18734848465.1341,0.000166485440792448
VSL,e1_2_primary,World,I_RHD_SECONDARY,115870588.499691,2.88488767573615e-05,347054476.364393,8.16883596106033e-05,880592910.378684,0.000197541830619387,1255258089.18351,0.000290487694226129,18734848465.1341,0.000166485440792448
VSL,e1_2_primary,South-East Asia,I_STROKE_SECONDARY,608714311.878106,0.000151554629964276,1669217351.78328,0.00039289401689654,4187902708.93405,0.000939464714998629,5818276963.34891,0.00134644649894396,88717411717.9976,0.000788378802386551
VSL,e1_2_primary,World,I_STROKE_SECONDARY,608714311.878106,0.000151554629964276,1669217351.78328,0.00039289401689654,4187902708.93405,0.000939464714998629,5818276963.34891,0.00134644649894396,88717411717.9976,0.000788378802386551
VSL,e1_2_primary,South-East Asia,I_T2D_TREATMENT,2980099246.64755,0.000741970132407414,10836654060.9788,0.00255069032153756,38271888667.2129,0.00858546424741422,68968289482.7201,0.0159604144830383,840595035775.393,0.0074698674675407
VSL,e1_2_primary,World,I_T2D_TREATMENT,2980099246.64755,0.000741970132407414,10836654060.9788,0.00255069032153756,38271888667.2129,0.00858546424741422,68968289482.7201,0.0159604144830383,840595035775.393,0.0074698674675407
VSL,e1_2_primary,South-East Asia,all,10892854964.741,0.00271204828147105,56041303027.6686,0.013190788266809,250032185414.778,0.0560892723964372,479071396266.583,0.110865125244237,5488058843940.14,0.0487691105390389
VSL,e1_2_primary,World,all,10892854964.741,0.00271204828147105,56041303027.6686,0.013190788266809,250032185414.778,0.0560892723964372,479071396266.583,0.110865125244237,5488058843940.14,0.0487691105390389
